"This cart is no longer available or the cart sharing URL is invalid.","Este carrinho não está disponível ou a url de compartilhamento é inválida."
"My Shared Carts","Meus carrinhos compartilhados"
"Could not get the shared cart %1.","Não foi possível resgatar o carrinho %1."
"Could not get customer with id %1.","Não foi possível resgatar o cliente com id %1."
"'Could not generate Cart Sharing Key.' .","'Não foi possível gerar a Chave de Compartilhamento de Carrinho.' ."
"'Could not get quote from session.' .","'Não foi possível encontrar a Quote da sessão.' ."
"'Could not generate sharing url.' .","'Não foi possível gerar a URL de compartilhamento.' ."
"Share Cart","Compartilhar carrinho"
"Shared Carts","Carrinhos compartilhados"
"View All","Ver todos"
"My Sharing Key","Minha chave de compartilhamento"
"Copy Sharing Key","Copiar Chave"
"Recent Shared Carts","Carrinhos compartilhados recentemente"
"Cart #","Carrinho #"
Date,Data
Total,Total
Items,Itens
"Sharing Url","URL de compartilhamento"
"Copy Sharing Url","Copiar URL"
"You don't have any active shared cart.","Você não tem nenhum carrinho compartilhado ativo."
"Cart Sharing Key","Chave de compartilhamento"
"Cart Sharing Url","URL de compartilhamento"
"Generate Url","Gerar URL"
"Enter sharing key","Insira a chave de compartilhamento"
"Cart Sharing URL successfully created. You will be redirected to homepage in 15 seconds.","URL de compartilhamento gerada com sucesso. Você será redirecionado para a página inicial em 15 segundos."
"Invalid Cart Sharing Key. Contact us for more information.","Chave de compartilhamento inválida. Entre em contato para mais informações."
"Cart Sharing","Compartilhamento de Carrinho"
"Cart Sharing Options","Opções de Compartilhamento"
"Add new sharing cart functionality in checkout/cart page.","Adiciona a funcionalidade à página de carrinho."
"Enable Cart Sharing","Habilitar compartilhamento de carrinho"
"Validate Cart Sharing Key","Validar chave de compartilhamento"
"Check 'Cart Sharing Key' input based on Customer's attributes of the same name.","Verifica se a chave inserida pelo usuário é válida."
"Show Cart Sharing as Popup","Mostrar em formato de Popup"
"Cart Sharing Key Length","Tamanho da chave de compartilhamento"
"Number of characters that generated Cart Sharing Key will have (6-12).","Número de caracteres que a chave terá (6-12)."
"Enable functionality for following Customer Groups","Habilitar funcionalidade para os seguintes grupos de cliente"
"Customer Groups that can Share their Carts.","Grupos de cliente que poderão compartilhar o carrinho."
